Entry_ID,State Patient Number,Date Announced,Age Bracket,Gender,,Detected District,Detected State,State code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
726922,,28/07/2021,,,,Mysuru,Karnataka,KA,93,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726923,,28/07/2021,,,,Raichur,Karnataka,KA,1,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726924,,28/07/2021,,,,Shivamogga,Karnataka,KA,86,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726925,,28/07/2021,,,,Tumakuru,Karnataka,KA,39,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726926,,28/07/2021,,,,Udupi,Karnataka,KA,109,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726927,,28/07/2021,,,,Uttara Kannada,Karnataka,KA,57,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726928,,28/07/2021,,,,Vijayapura,Karnataka,KA,4,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726929,,28/07/2021,,,,Yadgir,Karnataka,KA,1,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726930,,28/07/2021,,,,Bagalkote,Karnataka,KA,1,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726931,,28/07/2021,,,,Ballari,Karnataka,KA,9,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726932,,28/07/2021,,,,Belagavi,Karnataka,KA,55,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726933,,28/07/2021,,,,Bengaluru Rural,Karnataka,KA,39,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726934,,28/07/2021,,,,Bengaluru Urban,Karnataka,KA,244,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726935,,28/07/2021,,,,Chikkaballapura,Karnataka,KA,9,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726936,,28/07/2021,,,,Chikkamagaluru,Karnataka,KA,59,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726937,,28/07/2021,,,,Chitradurga,Karnataka,KA,12,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726938,,28/07/2021,,,,Dakshina Kannada,Karnataka,KA,148,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726939,,28/07/2021,,,,Davanagere,Karnataka,KA,10,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726940,,28/07/2021,,,,Dharwad,Karnataka,KA,5,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726941,,28/07/2021,,,,Gadag,Karnataka,KA,2,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726942,,28/07/2021,,,,Hassan,Karnataka,KA,115,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726943,,28/07/2021,,,,Haveri,Karnataka,KA,3,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726944,,28/07/2021,,,,Kalaburagi,Karnataka,KA,6,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726945,,28/07/2021,,,,Kodagu,Karnataka,KA,72,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726946,,28/07/2021,,,,Kolar,Karnataka,KA,19,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726947,,28/07/2021,,,,Koppal,Karnataka,KA,2,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726948,,28/07/2021,,,,Mandya,Karnataka,KA,35,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726949,,28/07/2021,,,,Mysuru,Karnataka,KA,245,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726950,,28/07/2021,,,,Raichur,Karnataka,KA,6,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726951,,28/07/2021,,,,Ramanagara,Karnataka,KA,10,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726952,,28/07/2021,,,,Shivamogga,Karnataka,KA,79,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726953,,28/07/2021,,,,Tumakuru,Karnataka,KA,99,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726954,,28/07/2021,,,,Udupi,Karnataka,KA,85,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726955,,28/07/2021,,,,Uttara Kannada,Karnataka,KA,37,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726956,,28/07/2021,,,,Vijayapura,Karnataka,KA,11,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726957,,28/07/2021,,,,Yadgir,Karnataka,KA,1,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726958,,28/07/2021,,,,Bengaluru Rural,Karnataka,KA,2,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726959,,28/07/2021,,,,Bengaluru Urban,Karnataka,KA,3,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726960,,28/07/2021,,,,Chikkaballapura,Karnataka,KA,1,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726961,,28/07/2021,,,,Chikkamagaluru,Karnataka,KA,1,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726962,,28/07/2021,,,,Dakshina Kannada,Karnataka,KA,5,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726963,,28/07/2021,,,,Hassan,Karnataka,KA,1,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726964,,28/07/2021,,,,Kodagu,Karnataka,KA,1,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726965,,28/07/2021,,,,Mandya,Karnataka,KA,1,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726966,,28/07/2021,,,,Mysuru,Karnataka,KA,1,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726967,,28/07/2021,,,,Shivamogga,Karnataka,KA,1,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726968,,28/07/2021,,,,Udupi,Karnataka,KA,2,Deceased,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726969,,28/07/2021,,,,Chamarajanagara,Karnataka,KA,29,Hospitalized,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726970,,28/07/2021,,,,Chamarajanagara,Karnataka,KA,12,Recovered,,,https://t.co/bx0S6bWYsZ?amp=1,https://twitter.com/DHFWKA/status/1420366347188400130,,,,,
726971,,28/07/2021,,,,East Khasi Hills,Meghalaya,ML,244,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726972,,28/07/2021,,,,Ribhoi,Meghalaya,ML,45,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726973,,28/07/2021,,,,West Garo Hills,Meghalaya,ML,109,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726974,,28/07/2021,,,,West Jaintia Hills,Meghalaya,ML,21,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726975,,28/07/2021,,,,East Jaintia Hills,Meghalaya,ML,13,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726976,,28/07/2021,,,,West Khasi Hills,Meghalaya,ML,62,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726977,,28/07/2021,,,,South West Garo Hills,Meghalaya,ML,2,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726978,,28/07/2021,,,,East Garo Hills,Meghalaya,ML,10,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726979,,28/07/2021,,,,South West Khasi Hills,Meghalaya,ML,23,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726980,,28/07/2021,,,,North Garo Hills,Meghalaya,ML,6,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726981,,28/07/2021,,,,South Garo Hills,Meghalaya,ML,6,Hospitalized,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726982,,28/07/2021,,,,East Khasi Hills,Meghalaya,ML,107,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726983,,28/07/2021,,,,Ribhoi,Meghalaya,ML,93,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726984,,28/07/2021,,,,West Garo Hills,Meghalaya,ML,121,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726985,,28/07/2021,,,,West Jaintia Hills,Meghalaya,ML,25,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726986,,28/07/2021,,,,East Jaintia Hills,Meghalaya,ML,4,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726987,,28/07/2021,,,,West Khasi Hills,Meghalaya,ML,20,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726988,,28/07/2021,,,,South West Garo Hills,Meghalaya,ML,4,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726989,,28/07/2021,,,,South West Khasi Hills,Meghalaya,ML,11,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726990,,28/07/2021,,,,North Garo Hills,Meghalaya,ML,15,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726991,,28/07/2021,,,,South Garo Hills,Meghalaya,ML,9,Recovered,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
726992,,28/07/2021,,,,East Khasi Hills,Meghalaya,ML,4,Deceased,,,https://twitter.com/PIBShillong/status/1420327923874091015,,,,,,
